Body Size,Treatment,Species A,Species B,Species C,Species D,Species E,Species F,Species G,Species H,Species I,Species J,Species K,Species L,Species M
17.06002427,High,0,2,3,14,1,0,5,2,2,1,25,0,0
11.37016857,Control,0,0,3,12,0,0,4,2,1,2,17,0,0
20.71906925,Low,1,0,3,13,2,0,0,2,2,4,16,3,0
24.61420768,Medium,2,1,4,10,0,0,3,4,2,2,20,0,0
17.12524641,High,0,1,4,9,0,2,0,1,1,1,26,0,0
11.77373411,Control,1,2,4,6,0,0,5,2,3,7,18,2,0
20.74419972,Low,1,1,3,8,1,0,4,9,2,2,15,1,0
24.68611461,Medium,1,1,1,12,0,0,2,3,2,3,13,2,0
17.23422661,High,0,2,3,5,0,0,4,8,2,1,23,1,0
11.84108219,Control,2,1,5,6,1,0,0,1,2,1,19,1,0
20.77012601,Low,0,1,2,12,2,0,1,2,1,2,18,1,0
24.73800128,Medium,0,0,3,17,0,0,2,3,1,0,22,1,0
17.24802819,High,1,3,3,8,0,0,4,4,1,0,14,0,0
12.02245817,Control,0,0,4,10,0,0,6,0,1,5,21,2,0
20.7743779,Low,2,3,3,9,0,1,2,4,0,0,24,2,0
24.77709818,Medium,1,3,1,7,0,0,2,5,0,0,17,2,0
17.34101266,High,4,1,3,9,0,0,1,3,0,2,26,2,0
12.28575689,Control,1,0,0,7,0,0,9,4,0,1,24,2,0
20.80265181,Low,1,2,1,12,0,0,3,3,1,3,20,1,0
24.81587676,Medium,1,4,5,12,1,0,4,4,1,4,21,1,0
17.37532335,High,1,1,4,12,0,0,3,0,0,1,19,1,0
12.70003173,Control,0,1,2,8,0,0,5,3,3,3,17,0,0
20.93040171,Low,1,3,2,8,2,0,4,3,1,1,18,1,0
24.8647621,Medium,0,3,3,4,2,0,3,3,3,2,14,1,0
17.38716951,High,3,2,2,9,2,0,3,2,1,3,21,1,0
12.97734803,Control,1,1,4,7,1,0,1,1,1,1,25,1,0
20.97519433,Low,3,3,2,14,1,0,1,1,0,0,23,0,0
24.87091256,Medium,0,3,6,7,1,0,2,2,0,4,19,2,0
17.51306063,High,1,0,2,9,1,0,2,1,0,2,22,0,0
12.98963758,Control,0,3,3,14,1,0,4,1,1,1,15,2,1
20.99820454,Low,0,3,3,13,1,0,5,3,1,1,20,0,0
24.95083441,Medium,0,0,3,6,0,0,3,2,3,1,17,0,0
17.60827336,High,0,5,4,6,1,0,5,5,2,2,20,0,0
13.01610387,Control,0,0,3,11,1,0,4,0,0,1,16,0,0
21.01459818,Low,1,2,3,10,1,0,5,2,0,0,23,2,0
25.01810291,Medium,1,0,3,10,1,0,5,6,2,1,20,2,0
17.61856202,High,1,2,0,8,0,0,7,6,0,3,13,2,0
13.5054575,Control,1,5,1,11,1,0,3,3,1,4,20,2,0
21.11319309,Low,5,2,1,13,1,0,4,0,0,2,19,1,0
25.03903266,Medium,2,2,2,13,0,0,3,2,1,4,14,0,0
17.64594349,High,1,0,5,6,0,0,0,1,2,3,27,1,0
13.5214305,Control,0,0,1,11,0,0,5,3,2,0,20,0,0
21.18309913,Low,0,3,3,12,0,0,1,3,1,3,23,2,0
25.09593292,Medium,3,3,2,7,0,0,4,2,2,3,19,2,0
17.75225206,High,1,3,0,13,0,0,2,6,1,4,11,1,0
13.68528734,Control,1,4,3,11,0,0,0,3,2,1,21,0,0
21.29432465,Low,2,2,3,6,3,0,8,2,1,3,19,2,0
25.16978389,Medium,0,1,4,12,1,0,4,5,1,1,16,2,0
17.9623226,High,1,1,3,11,1,0,1,3,1,1,17,0,0
13.7726443,Control,2,2,4,10,0,0,2,0,0,2,28,3,0
21.48076538,Low,1,1,2,7,1,0,4,2,2,0,20,0,0
25.21832817,Medium,1,2,1,8,2,0,1,3,0,1,22,3,0
18.11064981,High,0,1,8,6,1,0,3,1,0,0,23,0,0
13.87111984,Control,1,4,2,4,1,0,4,1,2,4,17,1,0
21.52558641,Low,2,1,4,4,1,0,2,3,1,2,22,2,0
25.27671773,Medium,2,3,1,6,0,0,3,3,0,2,13,2,0
18.2544864,High,0,1,2,9,0,0,5,2,0,1,18,1,0
13.92507561,Control,2,4,3,9,0,0,4,2,0,1,15,0,0
21.54402642,Low,0,3,0,8,0,0,2,2,1,2,25,3,0
25.37723963,Medium,0,4,6,13,1,0,3,4,1,4,24,0,0
18.28615955,High,0,2,5,10,0,0,2,0,2,1,16,1,0
14.10822511,Control,2,3,1,6,0,0,3,4,0,4,16,1,0
21.60351306,Low,1,1,4,11,1,0,5,4,0,1,22,1,0
25.4197244,Medium,0,4,3,8,0,0,4,2,2,0,24,0,0
18.34243454,High,0,3,3,15,0,0,1,7,1,4,20,0,0
14.1288479,Control,2,2,4,13,0,0,3,2,0,1,17,0,0
21.61962816,Low,0,3,3,11,0,0,1,3,2,2,25,1,0
25.42315775,Medium,1,2,1,6,0,0,3,2,2,0,22,0,0
18.36222173,High,1,2,1,9,1,0,2,3,1,0,24,0,0
14.17584604,Control,1,3,3,11,0,1,2,4,2,2,24,3,0
21.62083893,Low,3,3,7,8,0,0,2,1,1,0,18,1,0
25.44456498,Medium,1,0,2,11,0,0,3,5,1,3,20,0,0
18.4475437,High,0,0,1,9,0,0,2,4,1,1,18,0,0
14.38553004,Control,1,6,3,13,0,0,2,5,0,3,21,0,0
21.69357577,Low,0,3,3,7,1,0,1,3,2,0,17,1,0
25.59725777,Medium,2,1,5,13,0,0,4,1,1,1,18,1,0
18.47200911,High,0,0,1,12,0,0,1,2,0,2,15,1,0
14.44193008,Control,0,2,3,13,0,0,2,2,0,4,22,2,0
21.70492171,Low,0,3,3,5,1,0,3,3,0,2,21,0,0
25.70447583,Medium,1,2,4,12,0,1,1,4,3,1,18,3,0
18.53760642,High,1,1,2,14,0,0,4,3,0,4,22,0,0
14.4709316,Control,1,2,1,10,2,0,4,1,0,0,29,2,0
21.77359425,Low,2,2,2,13,0,0,2,0,1,1,30,0,0
25.75832928,Medium,2,1,3,7,0,0,5,3,2,2,22,0,0
18.66449798,High,0,2,3,13,0,0,1,5,1,4,17,1,0
14.51023314,Control,2,1,4,12,1,0,4,0,0,1,26,1,0
21.85284534,Low,1,1,4,13,1,1,4,1,2,2,25,2,0
25.9472768,Medium,0,4,0,8,0,0,2,3,1,2,21,0,0
18.68905434,High,1,0,7,15,0,0,3,1,1,5,18,2,0
14.6445314,Control,1,0,4,8,1,0,0,2,1,3,23,0,0
21.95731218,Low,3,1,2,12,0,1,1,2,1,3,16,1,0
26.07732318,Medium,0,3,3,8,0,0,2,4,1,2,32,0,0
18.77043138,High,1,1,4,5,0,0,6,2,1,1,25,2,0
14.78167183,Control,0,0,2,9,0,0,2,2,4,4,17,3,0
22.0759785,Low,3,0,4,7,0,0,2,4,1,3,21,0,0
26.17783371,Medium,0,1,0,11,0,0,4,6,2,1,14,1,0
18.99906697,High,1,2,4,9,0,0,6,3,0,3,20,1,0
14.86404931,Control,1,4,3,11,0,0,2,0,0,1,21,0,0
22.09641939,Low,2,5,4,8,0,0,4,7,2,1,24,1,0
26.72548595,Medium,0,1,1,13,0,0,3,3,3,2,29,1,0
19.09915687,High,0,2,3,7,0,0,2,2,0,2,18,1,0
15.06288759,Control,0,0,1,10,0,0,4,2,0,3,15,0,0
22.19919229,Low,0,1,3,16,1,0,1,5,0,2,18,2,0
26.92352842,Medium,1,1,2,6,1,0,3,6,0,1,28,1,0
19.11819941,High,1,2,3,7,2,0,1,4,2,5,16,0,0
15.17559672,Control,0,2,4,12,0,0,1,3,1,2,17,1,0
22.21099299,Low,2,1,0,11,1,0,5,4,2,0,21,0,0
27.28337,Medium,1,2,1,12,1,0,2,2,2,2,23,0,0
19.22251845,High,3,2,3,6,0,0,3,1,0,5,26,2,0
15.31388539,Control,5,1,4,10,3,0,4,1,1,4,21,1,0
22.24309815,Low,4,3,3,9,0,0,0,5,2,2,27,0,0
27.64089236,Medium,2,2,3,12,1,0,1,5,1,2,13,0,0
19.25618681,High,1,4,3,6,0,0,4,2,1,3,12,1,0
15.3227757,Control,1,2,2,9,0,0,2,4,0,7,27,0,0
22.29609896,Low,0,0,1,19,0,0,1,1,0,4,27,1,0
28.07181095,Medium,3,3,1,8,1,0,6,4,2,2,18,0,0
19.28518264,High,0,4,4,10,0,0,3,1,2,2,17,1,0
15.39749069,Control,0,3,2,8,0,0,3,4,0,5,16,3,0
22.43470026,Low,1,2,0,7,0,0,2,1,0,2,20,1,0
28.51835011,Medium,0,2,2,9,1,0,3,3,1,2,21,1,0
19.35004098,High,1,2,2,11,0,0,6,1,0,2,20,0,0
15.52740064,Control,1,1,4,13,0,0,5,2,1,1,18,0,0
22.52771315,Low,0,0,4,6,0,0,4,1,0,1,16,0,0
28.81368578,Medium,2,2,4,14,0,0,0,4,3,1,21,0,0
19.45328568,High,1,1,2,11,1,1,5,5,1,0,18,1,0
15.55018348,Control,1,2,1,11,0,0,1,0,0,2,17,0,0
22.6700036,Low,3,3,2,7,0,0,2,2,0,4,22,2,0
29.34628588,Medium,1,2,5,9,0,0,1,6,2,2,22,1,0
19.52480039,High,1,2,4,12,0,1,6,3,0,0,15,0,0
15.59772732,Control,0,3,5,13,0,0,2,3,0,0,18,2,0
22.76444325,Low,2,4,3,7,1,0,6,3,0,2,20,0,1
29.49758032,Medium,1,2,7,8,1,0,4,5,3,0,18,2,0
19.55552994,High,0,4,3,15,0,0,1,2,1,2,13,0,0
15.80909389,Control,0,3,0,6,0,0,2,4,1,2,19,1,0
22.76444325,Low,0,0,3,8,0,0,4,1,0,2,31,0,0
29.87984095,Medium,0,0,3,8,0,0,1,7,0,4,21,1,0
19.60965624,High,0,0,1,5,1,0,3,1,0,0,22,0,0
16.00848923,Control,0,2,5,7,0,0,0,3,1,3,25,1,0
23.11874828,Low,1,6,5,6,1,0,4,1,1,0,19,0,0
30.57887857,Medium,0,4,2,5,0,1,6,5,0,2,13,0,1
19.73462081,High,1,1,2,13,2,0,3,2,2,2,12,0,0
16.13143018,Control,1,4,0,8,1,0,3,4,1,1,25,3,0
23.24283747,Low,0,3,1,17,0,0,3,2,2,1,26,2,0
30.72689884,Medium,2,3,6,7,1,1,2,1,0,2,21,0,0
19.88160653,High,1,4,0,12,0,0,1,2,0,1,20,0,0
16.13143018,Control,0,3,1,9,0,0,4,5,1,1,19,1,0
23.46607862,Low,1,1,3,7,1,0,5,6,0,5,18,1,0
33.52364052,Medium,1,4,8,11,1,0,0,0,1,0,27,0,0
19.9244551,High,2,2,3,9,1,0,4,3,1,1,34,2,0
16.21601319,Control,1,1,4,8,1,0,0,0,0,2,18,0,0
23.5148787,Low,2,1,2,15,1,0,1,3,0,0,27,0,0
37.43610483,Medium,3,2,0,9,0,1,4,4,0,2,18,1,0
19.96882707,High,3,5,3,10,1,0,2,5,0,2,23,1,0
16.43350748,Control,2,2,3,9,0,0,3,3,3,3,27,1,0
